Description_M,Index_M,Description_O,Index_O,Description_V,Index_V
Auto Theft,9461,1,2,Agg Assault - Domest,3062
Auto Theft Outside S,944,4,2,Agg Assault - Drive-,698
Burglary - Non Resid,2341,5,2,Aggravated Assault,7
Burglary - Residence,8391,Curfew,51,Aggravated Assault (,7132
Counterfeiting,322,Dead Body,79,Animal Cruelty,4
Credit/Debit/ATM Car,1171,Disorderly Conduct,1557,Arson,481
Embezzlement,548,Driving Under Influe,989,Arson with Fire Bomb,8
Extortion/Blackmail,18,Drunkenness,39,Attempt Suicide by C,33
Forged Checks,445,Failure to Return,52,Attempt Suicide by G,1
Forgery,411,False ID,19,Attempt Suicide by H,11
Fraud/Confidence Gam,1707,False Information to,304,Attempt Suicide by J,4
Passing Bad Checks,13,Family Disturbance,5,Attempt Suicide by O,28
Property Damage,12206,Family Offense,602,Attempt Suicide by P,9
Stealing Acc,2,Hacking/Computer Inv,42,Attempt Suicide by S,89
Stealing All Other,4762,Identity Theft,1366,Bomb Threat/Intimida,110
Stealing Auto Parts/,4064,Impersonation - NOT,86,Casualty (includes a,11
Stealing Bicycles,162,Interference with Cu,139,Forcible Fondling,17
Stealing Coin Operat,40,Invasion of Privacy,2,Forcible Sodomy,389
Stealing From Auto,9511,Liquor Law Violaton,321,HOMICIDE/Non Neglige,267
Stealing Pickpocket,159,Loitering,34,Hit and Run of a Per,14
Stealing Purse Snatc,99,MISSING PERSON,1,Human Trafficking/Co,6
Stealing Shoplifting,5968,Misc Viol(2601),2,Intimidation,1644
Stealing from Buildi,5060,Misc Violation,4359,Justifiable Homicide,16
Stealing from uildi,3,Missing/Runaway Juve,7,Kidnapping/Abduction,233
Stolen Property OFFE,712,Peeping Tom,3,Non Agg Assault Dome,9029
Strong Arm Robbery,2020,Pornography,38,Non Aggravated Assau,6547
Welfare Fraud,4,Possession of Drug E,1667,Rape,684
Wire Fraud,375,Possession/Sale/Dist,5419,Resisting an Officer,1895
auto theft,1,Promoting Prostituti,24,Sex Off Follow/Entic,20
broken window,2,Prostitution/Patroni,150,Sex Off Fondle - mol,415
counterfeiting,1,Prostitution/Solicit,179,Sex Off Incest,2
fraud,3,Trespassing,3461,Sex Off Indecent Con,84
property damage,4,Vagrancy,2,Sex Off Indecent Exp,131
robbery,3,Violation Ex Parte O,457,Sex Off Misconduct,152
strong armed robbery,2,Violation Full Order,762,Sex Offense -others,117
Armed Robbery,4291,Weapons Law Violatio,1192,Sexual Assault with,4
,,s,2,Stalking,31
,,,,Statutory Rape,91
,,,,Suicide By Cutting,1
,,,,Suicide By Hanging,2
,,,,Suicide By Shooting,2
,,,,Suicide By Sleeping,11
,,,,Suicide by Other Mea,3
