Description,Index
1,1
403,4
Agg Assault,2
Agg Assault - Domest,2377
Agg Assault - Drive-,446
Aggravated Assault (,5455
Animal Bite - All Ot,1
Armed Robbery,3695
Arson,408
Arson OTH,2
Arson with Fire Bomb,15
Attempt Suicide by C,62
Attempt Suicide by H,10
Attempt Suicide by J,3
Attempt Suicide by O,25
Attempt Suicide by P,7
Attempt Suicide by S,81
Auto Theft,8349
Auto Theft Outside S,718
Auto Theft7,2
Bomb Threat/Intimida,75
Bombing (other than,4
Burglary - Non Resid,1994
Burglary - Residence,9084
CHILD ABUSE,2
Casualty (includes a,12
Counterfeiting,114
Counterfeitting,1
Credit/Debit/ATM Car,961
Curfew,47
Dead Body,101
Disorderly Conduct,1517
Driving Under Influe,982
Drunkenness,85
Embezzlement,483
Extortion/Blackmail,4
Failure to Return,149
False ID,23
False Information to,224
Family Disturbance,5
Family Offense,461
Forcible Fondling,42
Forcible Sodomy,405
Forged Checks,367
Forgery,551
Fraud,2
Fraud Confidence Gam,10
Fraud/Confidence Gam,1338
Gambling - Operating,3
HOMICIDE/Non Neglige,201
Hindering,2
Hit and Run of a Per,21
Identity Theft,91
Impersonation,2093
Impersonation - NOT,79
Interference with Cu,85
Intimidation,1363
Intimidation (DV),2
Justifiable Homicide,2
Kidnapping/Abduction,109
Liquor Law Violaton,298
Loitering,9
Misc Violation,5854
Missing/Runaway Juve,10
Negligent Manslaught,4
Non Agg Assault Dome,9027
Non Aggravated Assau,6272
PROPERTY DAM,1
Passing Bad Checks,13
Peeping Tom,8
Pornography,47
Possession of Drug E,1831
Possession/Sale/Dist,4244
Promoting Prostituti,36
Property Damage,10408
Prostitution/Patroni,117
Prostitution/Solicit,223
RAPE,2
Rape,514
Receiving Stolen Pro,1
Resisting an Officer,1395
STEALING,2
STEALING ACC,2
Sex Off Follow/Entic,13
Sex Off Fondle - mol,326
Sex Off Indecent Con,69
Sex Off Indecent Exp,106
Sex Off Misconduct,156
Sex Offense -others,82
Stalking,11
Statutory Rape,101
Stealig All Other,2
Stealing All Other,4627
Stealing Auto Parts/,4508
Stealing Bicycles,154
Stealing Coin Operat,26
Stealing From Auto,7469
Stealing Pickpocket,134
Stealing Purse Snatc,92
Stealing Shoplifting,5640
Stealing from Buildi,4907
Stolen Property OFFE,412
Strong Arm Robbery,1896
Suicide By Cutting,1
Suicide By Shooting,3
Suicide By Sleeping,10
Trespassing,3125
Violation Ex Parte O,376
Violation Full Order,745
Weapons Law Violatio,1531
Welfare Fraud,2
Wire Fraud,275
auto theft,4
burglary,2
embezzlement,2
fraud,2
impersonation,2
misc juv,5
possession of drug e,2
prowling,4
resist,2
resisting officer,2
