,Zip Code,Offense
564,64132.0,690
567,64151.0,1120
568,64158.0,650
569,64120.0,1401
570,64138.0,401
571,64106.0,702
572,64110.0,302
573,64109.0,1401
574,64155.0,690
576,64130.0,640
577,64130.0,2402
578,64109.0,2601
579,64108.0,801
581,64155.0,690
584,64119.0,1401
586,64126.0,1401
588,64134.0,801
589,64130.0,801
590,64110.0,302
591,64120.0,901
592,64110.0,501
593,64129.0,1401
594,64118.0,802
596,64138.0,2601
597,64117.0,650
598,64111.0,702
599,64120.0,302
601,64114.0,702
603,64155.0,640
605,64111.0,1849
606,64109.0,702
607,64137.0,210
609,64127.0,802
610,64119.0,630
611,64131.0,1401
612,64116.0,1401
613,64114.0,1401
614,64153.0,2601
615,64108.0,801
616,64132.0,501
617,64134.0,2601
619,64131.0,502
623,64128.0,501
624,64111.0,1702
625,64130.0,901
626,64124.0,2655
627,64119.0,301
628,64108.0,801
629,64129.0,640
631,64123.0,1198
632,64114.0,670
633,64111.0,670
634,64118.0,640
635,64118.0,670
638,64111.0,702
639,64123.0,501
640,64131.0,1401
641,64151.0,501
642,64105.0,2604
644,64127.0,501
645,64129.0,702
646,64106.0,650
648,64131.0,2601
649,64127.0,301
651,64124.0,501
652,64130.0,670
654,64127.0,501
656,64153.0,1170
657,64130.0,702
658,64118.0,702
659,64130.0,1401
660,64132.0,702
661,64108.0,670
662,64136.0,1401
663,64106.0,2655
664,64134.0,690
665,64127.0,799
666,64130.0,702
667,64132.0,401
668,64124.0,802
669,64134.0,802
670,64137.0,630
671,64111.0,630
672,64110.0,1401
673,64118.0,1401
674,64128.0,401
676,64132.0,1198
678,64106.0,302
679,64126.0,840
680,64161.0,640
681,64110.0,690
683,64124.0,201
684,64151.0,650
685,64154.0,2601
686,64120.0,650
687,64130.0,1401
688,64129.0,650
689,64108.0,401
690,64109.0,501
691,64131.0,801
693,64111.0,302
694,64105.0,799
695,64134.0,802
696,64128.0,831
697,64109.0,802
698,64106.0,2201
699,64108.0,1401
700,64134.0,802
701,64127.0,1401
703,64106.0,2601
704,64108.0,2402
705,64114.0,501
706,64116.0,401
707,64127.0,2655
708,64130.0,650
709,64119.0,302
711,64134.0,640
712,64111.0,702
713,64130.0,640
714,64132.0,301
715,64154.0,1401
716,64117.0,702
717,64134.0,630
719,64128.0,1401
720,64126.0,901
721,64116.0,650
722,64130.0,1401
723,64124.0,1401
724,64119.0,302
725,64128.0,2601
726,64106.0,801
727,64114.0,801
728,64151.0,1401
729,64154.0,690
730,64114.0,801
731,64111.0,650
732,64127.0,650
733,64134.0,802
734,64127.0,690
735,64123.0,840
736,64106.0,702
737,64111.0,802
738,64123.0,401
739,64132.0,640
740,64156.0,640
741,64119.0,1401
743,64106.0,301
744,64124.0,501
745,64127.0,650
746,64102.0,801
747,64124.0,690
748,64130.0,1401
749,64127.0,301
750,64106.0,1198
751,64111.0,630
752,64111.0,801
753,64126.0,650
754,64134.0,401
756,64116.0,650
757,64151.0,2040
758,64156.0,640
759,64111.0,640
760,64116.0,670
761,64127.0,670
762,64124.0,670
763,64124.0,2601
764,64129.0,210
765,64127.0,802
769,64124.0,799
770,64130.0,802
771,64130.0,2601
772,64106.0,801
773,64111.0,670
775,64134.0,1401
776,64016.0,640
780,64116.0,210
781,64113.0,1401
782,64138.0,1401
783,64127.0,702
784,64151.0,2601
785,64154.0,670
786,64125.0,301
787,64130.0,630
788,64110.0,640
789,64138.0,640
790,64108.0,2655
791,64109.0,302
792,64130.0,702
793,64134.0,690
794,64111.0,702
795,64128.0,401
796,64129.0,799
797,64127.0,401
798,64145.0,690
799,64157.0,802
800,64105.0,640
801,64109.0,650
802,64111.0,1120
803,64127.0,501
804,64118.0,401
807,64131.0,401
808,64134.0,802
809,64137.0,640
810,64151.0,670
811,64152.0,802
813,64129.0,702
814,64109.0,840
815,64127.0,401
816,64129.0,702
818,64117.0,650
819,64134.0,502
820,64130.0,502
821,64118.0,802
823,64109.0,1401
824,64123.0,501
