,Offense,Age,Month,Day,Year
2465,1849,,07,29,2015
2466,1849,,03,08,2015
2467,802,22.0,10,26,2015
2468,801,31.0,07,08,2015
2469,1850,,10,07,2015
2470,2402,37.0,05,26,2015
2471,1849,,11,27,2015
2472,2601,20.0,11,04,2015
2473,1850,,08,31,2015
2474,2201,21.0,06,13,2015
2475,702,34.0,06,19,2015
2476,802,22.0,04,14,2015
2477,1401,23.0,05,03,2015
2478,2601,29.0,07,06,2015
2479,1652,20.0,05,08,2015
2480,799,,01,12,2015
2481,640,,11,13,2015
2482,1849,,02,08,2015
2483,2100,36.0,09,17,2015
2484,1850,47.0,03,05,2015
2485,401,50.0,09,02,2015
2486,1849,30.0,09,07,2015
2487,702,,03,21,2015
2488,1850,33.0,05,09,2015
2489,1850,47.0,04,27,2015
2490,1850,,10,16,2015
2491,640,39.0,04,10,2015
2492,401,23.0,04,24,2015
2493,2100,56.0,02,14,2015
2494,1352,,01,01,2015
2495,840,20.0,06,13,2015
2496,1652,26.0,09,09,2015
2497,1401,,12,19,2015
2498,403,34.0,07,02,2015
2499,690,35.0,03,01,2015
2500,1750,,02,25,2015
2501,1849,18.0,03,22,2015
2502,801,40.0,07,09,2015
2503,1849,,02,19,2015
2504,1849,20.0,02,28,2015
2505,401,,01,12,2015
2506,302,,12,21,2015
2507,1850,,07,11,2015
2508,2402,31.0,08,08,2015
2509,670,,02,01,2015
2510,301,30.0,05,11,2015
2511,1849,,12,16,2015
2512,802,35.0,01,19,2015
2513,670,91.0,08,20,2015
2514,2100,47.0,07,03,2015
2515,1651,34.0,01,21,2015
2516,302,18.0,12,13,2015
2517,1850,54.0,02,22,2015
2518,802,26.0,11,29,2015
2519,702,41.0,03,07,2015
2520,1849,,07,15,2015
2521,2100,27.0,01,17,2015
2522,690,44.0,06,30,2015
2523,1401,34.0,03,03,2015
2524,2601,,08,05,2015
2525,2601,,07,24,2015
2526,640,,05,28,2015
2527,1850,,07,23,2015
2528,2601,19.0,01,22,2015
2529,2601,,07,13,2015
2530,640,,10,04,2015
2531,802,39.0,05,26,2015
2532,401,21.0,07,09,2015
2533,1401,41.0,10,14,2015
2534,1849,21.0,01,29,2015
2535,302,58.0,09,09,2015
2536,301,49.0,08,26,2015
2537,1651,,05,08,2015
2538,1849,19.0,05,15,2015
2539,1849,,10,23,2015
2540,801,44.0,06,08,2015
2541,1849,24.0,02,09,2015
2542,802,21.0,10,16,2015
2543,801,25.0,10,27,2015
2544,302,20.0,09,12,2015
2545,401,,07,05,2015
2546,302,,08,28,2015
2547,801,22.0,08,08,2015
2548,301,,11,03,2015
2549,1652,24.0,11,19,2015
2550,1849,30.0,10,27,2015
2551,801,23.0,08,15,2015
2552,401,27.0,12,14,2015
2553,650,,02,17,2015
2554,801,26.0,05,03,2015
2555,1850,,02,21,2015
2556,2100,33.0,03,28,2015
2557,690,55.0,05,30,2015
2558,802,,06,04,2015
2559,1401,,11,09,2015
2560,1651,,10,09,2015
2561,2402,30.0,07,20,2015
2562,2601,51.0,05,24,2015
2563,1401,36.0,08,24,2015
2564,1401,,08,28,2015
2565,301,22.0,09,22,2015
2566,801,,08,09,2015
2567,1850,,09,15,2015
2568,702,41.0,08,28,2015
2569,2402,,04,04,2015
2570,1401,,11,18,2015
2571,801,,10,16,2015
2572,2100,28.0,03,04,2015
2573,2100,27.0,05,09,2015
2574,1352,22.0,09,16,2015
2575,801,40.0,09,23,2015
2576,301,,05,15,2015
2577,1849,34.0,11,03,2015
2578,401,22.0,05,08,2015
2579,302,,08,26,2015
2580,690,51.0,09,28,2015
2581,1849,24.0,03,27,2015
2582,2100,30.0,11,21,2015
2583,650,33.0,02,13,2015
2584,2402,22.0,10,16,2015
2585,801,,09,23,2015
2586,1401,53.0,10,02,2015
2587,801,30.0,09,23,2015
2588,1651,45.0,10,08,2015
2589,2100,,08,01,2015
2590,2201,,03,28,2015
2591,840,35.0,08,09,2015
2592,1850,38.0,09,10,2015
2593,2601,,03,29,2015
2594,302,36.0,07,22,2015
2595,1546,,11,27,2015
2596,301,,10,27,2015
2597,2100,22.0,07,04,2015
2598,801,48.0,08,02,2015
2599,1849,,09,07,2015
2600,702,72.0,12,19,2015
2601,2655,52.0,03,30,2015
2602,2601,40.0,04,01,2015
2603,1401,23.0,08,28,2015
2604,1849,,08,16,2015
2605,401,25.0,09,26,2015
2606,801,18.0,08,03,2015
2607,302,19.0,07,30,2015
2608,2601,26.0,04,25,2015
2609,650,,11,30,2015
2610,640,38.0,01,08,2015
2611,2001,,01,25,2015
2612,1849,,03,04,2015
2613,1849,25.0,08,31,2015
2614,690,,01,10,2015
2615,401,33.0,07,01,2015
2616,801,27.0,07,07,2015
2617,801,,05,03,2015
2618,2601,61.0,01,26,2015
2619,801,,06,24,2015
2620,840,,12,02,2015
2621,801,,05,26,2015
2622,1850,,01,05,2015
2623,640,53.0,01,14,2015
2624,1850,26.0,07,25,2015
2625,403,19.0,04,08,2015
2626,2402,,08,14,2015
2627,1849,23.0,05,23,2015
2628,2402,,04,14,2015
2629,401,,08,09,2015
2630,401,20.0,01,05,2015
2631,401,25.0,09,26,2015
2632,801,,01,24,2015
2633,1849,,05,02,2015
2634,801,,05,03,2015
2635,1546,,06,17,2015
2636,2601,26.0,11,02,2015
2637,302,,02,17,2015
2638,401,19.0,09,05,2015
2639,1849,,10,16,2015
2640,2403,,05,02,2015
2641,2100,,12,18,2015
2642,2100,40.0,02,18,2015
2643,2402,50.0,04,19,2015
2644,801,,06,20,2015
2645,802,30.0,07,10,2015
2646,1849,,06,18,2015
2647,690,,09,10,2015
2648,2601,,06,13,2015
2649,1850,,12,05,2015
2650,702,40.0,08,18,2015
2651,802,55.0,12,10,2015
2652,1849,24.0,09,04,2015
2653,690,52.0,09,25,2015
2654,301,40.0,01,17,2015
2655,1352,31.0,06,19,2015
2656,1849,,03,18,2015
2657,802,23.0,04,20,2015
2658,640,23.0,02,08,2015
2659,1849,56.0,04,20,2015
2660,302,,06,29,2015
2661,840,,04,06,2015
2662,1546,,06,14,2015
2663,1546,,02,07,2015
2664,1849,35.0,05,24,2015
2665,1546,,04,28,2015
2666,403,49.0,06,26,2015
2667,302,43.0,03,14,2015
2668,1849,,02,10,2015
2669,801,46.0,05,30,2015
2670,1001,,06,17,2015
2671,2402,,11,06,2015
2672,801,,09,23,2015
2673,501,,09,05,2015
2674,401,,09,01,2015
2675,301,,09,30,2015
2676,2402,38.0,01,16,2015
2677,690,,09,11,2015
2678,801,50.0,02,04,2015
2679,1850,,01,02,2015
2680,1750,,12,01,2014
2681,840,20.0,10,16,2015
2682,2604,24.0,06,21,2015
2683,702,29.0,10,27,2015
2684,640,,12,31,2014
2685,1849,,08,07,2015
2686,2601,,07,05,2015
2687,1849,,03,04,2015
2688,1850,36.0,03,31,2015
2689,2100,33.0,,,
2690,302,,01,09,2015
2691,1849,24.0,05,30,2015
2692,650,,05,06,2015
2693,1401,29.0,03,30,2015
2694,702,40.0,07,29,2015
2695,840,32.0,03,06,2015
2696,1850,,10,17,2015
2697,802,48.0,11,24,2015
2698,799,,05,24,2015
2699,2601,,08,21,2015
2700,2601,19.0,06,05,2015
2701,1546,,06,30,2015
2702,2402,,11,04,2015
2703,302,54.0,07,13,2015
2704,401,23.0,03,06,2015
2705,2402,40.0,07,28,2015
2706,1401,,05,01,2015
2707,2601,,10,26,2015
2708,690,,10,30,2015
2709,1849,,05,14,2015
2710,401,50.0,07,09,2015
2711,640,65.0,07,26,2015
2712,1546,,12,01,2015
2713,302,,01,14,2015
2714,801,33.0,03,30,2015
2715,840,,05,02,2015
2716,801,41.0,05,27,2015
2717,301,,01,11,2015
2718,1849,,05,31,2015
2719,1352,,03,28,2015
2720,1401,42.0,01,18,2015
2721,690,18.0,10,14,2015
2722,302,18.0,10,29,2015
2723,1850,,06,04,2015
2724,401,61.0,06,23,2015
2725,801,40.0,09,23,2015
2726,1849,21.0,01,29,2015
2727,302,62.0,09,03,2015
2728,1401,27.0,04,04,2015
2729,1546,,07,15,2015
2730,802,25.0,07,12,2015
2731,401,,08,27,2015
2732,1849,,08,03,2015
2733,801,,09,23,2015
2734,1651,33.0,10,09,2015
2735,801,27.0,08,08,2015
2736,802,27.0,01,24,2015
2737,1849,,02,22,2015
2738,2100,24.0,06,20,2015
2739,1849,,07,11,2015
2740,1849,,05,30,2015
2741,840,18.0,,,
2742,1849,,02,14,2015
2743,1849,,04,29,2015
2744,302,,04,09,2015
2745,1849,19.0,08,06,2015
2746,1850,24.0,04,02,2015
2747,1849,,03,14,2015
2748,702,,05,01,2015
2749,802,30.0,10,13,2015
2750,840,61.0,08,22,2015
2751,801,,06,18,2015
2752,2655,62.0,06,06,2015
2753,401,34.0,08,13,2015
2754,302,,01,22,2015
2755,1401,23.0,09,03,2015
2756,1849,,04,16,2015
2757,402,24.0,11,01,2015
2758,1849,61.0,05,14,2015
2759,1849,53.0,04,23,2015
2760,1652,23.0,12,10,2015
2761,1849,20.0,07,21,2015
2762,840,43.0,05,09,2015
2763,1850,,09,09,2015
2764,401,50.0,06,20,2015
2765,1850,18.0,05,13,2015
2766,2100,44.0,07,26,2015
2767,1850,32.0,07,09,2015
2768,2402,50.0,08,03,2015
2769,1849,32.0,01,30,2015
2770,801,,08,24,2015
2771,1849,56.0,01,23,2015
2772,840,43.0,06,03,2015
2773,2100,31.0,06,05,2015
2774,1850,40.0,03,28,2015
2775,1850,,09,04,2015
2776,702,,11,05,2015
2777,2100,31.0,06,13,2015
2778,1849,,07,19,2015
2779,301,,03,11,2015
2780,2655,55.0,08,04,2015
2781,1401,,07,18,2015
2782,1352,,03,28,2015
2783,640,32.0,10,25,2015
2784,2655,30.0,08,19,2015
2785,1849,26.0,07,25,2015
2786,1849,,01,15,2015
2787,1850,,09,10,2015
2788,801,,03,30,2015
2789,2601,,09,30,2015
2790,840,26.0,09,27,2015
2791,1546,,10,09,2015
2792,1770,35.0,03,16,2015
2793,2402,,01,17,2015
2794,201,,08,12,2015
2795,1849,,08,29,2015
2796,210,24.0,03,27,2014
2797,2661,45.0,03,02,2015
2798,302,,07,23,2015
2799,302,19.0,09,27,2015
2800,1850,30.0,06,25,2015
2801,401,,04,26,2015
2802,2601,,04,18,2015
2803,1122,,04,28,2015
2804,630,,01,24,2015
2805,2100,32.0,02,14,2015
2806,302,32.0,06,14,2015
2807,1546,,09,02,2015
2808,2402,,12,03,2015
2809,2402,,07,20,2015
2810,840,,07,19,2015
2811,1401,56.0,01,12,2015
2812,401,,12,27,2015
2813,1850,,02,28,2015
2814,1401,,04,17,2015
2815,2100,33.0,03,22,2015
2816,1850,,04,29,2015
2817,1849,,08,16,2015
2818,2601,64.0,09,10,2015
2819,640,25.0,10,17,2015
2820,401,19.0,12,13,2015
2821,1850,20.0,07,21,2015
2822,1849,,09,04,2015
2823,801,,08,02,2015
2824,640,,12,10,2015
2825,401,38.0,09,14,2015
2826,840,44.0,09,06,2015
2827,840,48.0,03,22,2015
2828,801,,07,30,2015
2829,802,46.0,05,18,2015
2830,1850,,09,04,2015
2831,802,27.0,08,23,2015
2832,840,,04,12,2015
2833,2661,23.0,05,04,2015
2834,2402,44.0,05,07,2015
2835,1849,,12,02,2015
2836,799,46.0,01,04,2015
2837,650,,02,08,2015
2838,1850,,09,21,2015
2839,801,35.0,07,31,2015
2840,802,21.0,09,30,2015
2841,1651,,10,09,2015
2842,401,,01,19,2015
2843,1352,,07,16,2015
2844,2601,,01,20,2015
2845,2402,,07,19,2015
2846,2100,48.0,02,15,2015
2847,403,61.0,09,06,2015
2848,2201,,04,04,2015
2849,1849,,07,12,2015
2850,1849,42.0,03,08,2015
2851,802,26.0,06,08,2015
2852,1401,,01,20,2015
2853,640,23.0,02,08,2015
2854,640,,12,10,2015
2855,801,,08,24,2015
2856,2402,42.0,08,05,2015
2857,1401,,04,17,2015
2858,301,20.0,10,22,2015
2859,799,,01,22,2015
2860,801,,04,11,2015
2861,702,,06,19,2015
2862,1850,,06,18,2015
2863,1849,,06,08,2015
2864,2601,34.0,11,20,2015
2865,401,25.0,03,15,2015
2866,1850,,04,27,2015
2867,301,,11,03,2015
2868,840,,06,25,2015
2869,2655,38.0,02,28,2015
2870,2201,73.0,07,16,2015
2871,801,25.0,07,31,2015
2872,401,52.0,07,18,2015
2873,302,,11,16,2015
2874,801,,09,23,2015
2875,650,,01,17,2015
2876,302,28.0,06,29,2015
2877,1850,26.0,06,08,2015
2878,1401,,08,01,2015
2879,302,,05,24,2015
2880,2041,20.0,07,18,2015
2881,801,24.0,01,16,2015
2882,640,30.0,07,26,2015
2883,2100,,08,30,2015
2884,401,30.0,09,07,2015
2885,802,,10,17,2015
2886,2661,61.0,03,02,2015
2887,2100,47.0,12,02,2015
2888,1849,25.0,09,04,2015
2889,1850,19.0,05,15,2015
2890,1401,,04,04,2015
2891,702,42.0,05,21,2015
2892,801,,01,17,2015
2893,801,29.0,03,14,2015
2894,1546,43.0,10,21,2015
2895,840,,09,27,2015
2896,2100,35.0,02,08,2015
2897,840,25.0,01,17,2015
2898,801,26.0,08,12,2015
2899,801,41.0,07,08,2015
2900,801,41.0,09,16,2015
2901,1750,,10,23,2015
2902,801,52.0,03,13,2015
2903,702,39.0,06,22,2015
2904,801,37.0,01,02,2015
2905,2402,31.0,05,09,2015
2906,2201,52.0,06,22,2015
2907,302,,01,09,2015
2908,799,,06,19,2015
2909,2100,36.0,01,30,2015
2910,2100,32.0,06,12,2015
2911,2100,33.0,12,19,2015
2912,1849,,06,25,2015
2913,801,,04,25,2015
2914,1849,18.0,07,26,2015
2915,1849,,09,08,2015
2916,2601,57.0,12,31,2015
2917,2601,27.0,05,30,2015
2918,801,27.0,10,16,2015
2919,2402,,01,16,2015
2920,640,,11,15,2015
2921,1122,42.0,03,10,2015
2922,1401,23.0,08,26,2015
2923,1850,,09,18,2015
2924,1850,,04,13,2015
2925,401,,03,07,2015
2926,801,27.0,04,25,2015
2927,2100,34.0,12,26,2015
2928,1849,40.0,06,25,2015
2929,801,32.0,06,13,2015
2930,403,34.0,06,10,2015
2931,301,,10,16,2015
2932,1546,,03,09,2015
2933,1850,64.0,09,10,2015
2934,401,39.0,09,11,2015
2935,1849,,12,02,2015
2936,1849,,11,25,2015
2937,301,35.0,09,04,2015
2938,640,,01,25,2015
2939,2601,,06,02,2015
2940,702,29.0,05,01,2015
2941,2100,,02,11,2015
2942,2604,21.0,03,18,2015
2943,301,,10,30,2015
2944,401,32.0,04,12,2015
2945,1849,,10,17,2015
2946,801,30.0,11,10,2015
2947,702,,10,24,2015
2948,1850,,07,27,2015
2949,1850,30.0,08,10,2015
2950,2100,34.0,12,08,2015
2951,1401,28.0,06,02,2015
2952,702,29.0,07,28,2015
2953,1849,,11,24,2015
2954,2601,,02,09,2015
2955,2402,,04,04,2015
2956,401,,07,05,2015
2957,301,25.0,09,28,2015
2958,401,,12,18,2015
2959,1352,27.0,09,22,2015
2960,1849,,09,09,2015
2961,1850,53.0,10,22,2015
2962,401,21.0,03,07,2015
2963,1849,,11,13,2015
2964,302,35.0,03,04,2015
2965,1849,20.0,03,15,2015
2966,1651,,03,31,2015
2967,801,31.0,08,17,2015
2968,2402,30.0,06,25,2015
2969,301,20.0,11,03,2015
2970,1850,,12,10,2015
2971,401,45.0,08,25,2015
2972,2601,,07,02,2015
2973,1849,33.0,04,02,2015
2974,702,,12,07,2015
2975,840,,05,15,2015
2976,1850,,08,10,2015
2977,1651,43.0,12,10,2015
2978,802,36.0,01,18,2015
2979,702,,05,23,2015
2980,2601,,02,12,2015
2981,401,,08,25,2015
2982,302,,06,29,2015
2983,2530,56.0,04,18,2015
2984,1849,31.0,05,31,2015
2985,2201,,06,07,2015
2986,1401,,09,26,2015
2987,650,64.0,12,27,2015
2988,1850,,11,15,2015
2989,401,20.0,01,05,2015
2990,1849,40.0,02,10,2015
2991,302,33.0,03,01,2015
2992,1849,,10,17,2015
2993,301,20.0,08,20,2015
2994,802,48.0,05,18,2015
2995,801,27.0,08,16,2015
2996,1849,28.0,05,28,2015
2997,1849,,09,24,2015
2998,1850,40.0,06,08,2015
2999,301,,01,13,2015
3000,301,62.0,10,08,2015
3001,2601,42.0,08,05,2015
3002,801,26.0,03,11,2015
3003,2402,52.0,09,06,2015
3004,2100,,09,20,2015
3005,2601,30.0,07,12,2015
3006,401,,08,25,2015
3007,840,,03,25,2015
3008,1849,24.0,01,01,2015
3009,401,,03,07,2015
3010,1849,34.0,08,07,2015
3011,2601,19.0,03,06,2015
3012,2601,46.0,02,13,2015
3013,1849,,04,20,2015
3014,401,,09,18,2015
3015,1849,62.0,03,20,2015
3016,401,25.0,08,31,2015
3017,640,49.0,06,07,2015
3018,302,,07,10,2015
3019,702,,02,26,2015
3020,1352,,05,21,2015
3021,401,,07,11,2015
3022,302,68.0,10,03,2015
3023,401,20.0,08,13,2015
3024,702,31.0,09,12,2015
3025,301,,10,16,2015
3026,1652,34.0,05,06,2015
3027,799,,08,01,2015
3028,640,53.0,10,25,2015
3029,702,37.0,02,12,2015
3030,801,,10,08,2015
3031,2100,,05,23,2015
3032,640,63.0,12,30,2015
3033,1849,25.0,10,27,2015
3034,401,,07,30,2015
3035,401,47.0,07,11,2015
3036,1849,,08,06,2015
3037,690,,09,24,2015
3038,1546,,05,27,2015
3039,1546,,09,04,2015
3040,702,43.0,01,08,2015
3041,2402,20.0,06,20,2015
3042,640,,12,18,2015
3043,801,,04,19,2015
3044,302,,12,13,2015
3045,802,28.0,04,02,2015
3046,702,58.0,02,21,2015
3047,302,22.0,11,16,2015
3048,840,,07,10,2015
3049,301,20.0,10,22,2015
3050,401,25.0,04,13,2015
3051,1651,,02,11,2015
3052,702,20.0,05,02,2015
3053,702,,08,05,2015
3054,2001,,04,03,2015
3055,2661,26.0,09,15,2015
3056,1546,,02,03,2015
3057,2601,,12,20,2015
3058,2655,42.0,10,10,2015
3059,802,27.0,09,15,2015
3060,640,43.0,10,07,2015
3061,2402,,01,17,2015
3062,630,30.0,01,24,2015
3063,1546,22.0,05,15,2015
3064,2402,41.0,03,12,2015
3065,801,44.0,05,21,2015
3066,1849,,07,15,2015
3067,401,,08,27,2015
3068,640,,08,12,2015
3069,1849,,09,16,2015
3070,802,29.0,08,28,2015
3071,2601,,11,20,2015
3072,1849,46.0,08,28,2015
3073,401,23.0,05,31,2015
3074,1651,35.0,02,11,2015
3075,2402,,08,15,2015
3076,401,,08,25,2015
3077,802,25.0,04,27,2015
3078,302,,08,28,2015
3079,640,,10,09,2015
3080,702,,01,29,2015
3081,210,25.0,08,22,2015
3082,2402,28.0,11,10,2015
3083,802,30.0,04,28,2015
3084,1850,,04,23,2015
3085,702,,07,03,2015
3086,2402,26.0,05,10,2015
3087,1652,45.0,07,07,2015
3088,640,48.0,12,10,2015
3089,1850,25.0,11,16,2015
3090,1546,,08,28,2015
3091,801,49.0,04,24,2015
3092,801,45.0,08,05,2015
3093,1849,40.0,06,08,2015
3094,702,,01,08,2015
3095,1849,,07,11,2015
3096,210,53.0,09,24,2015
3097,640,,09,06,2015
3098,802,26.0,07,26,2015
3099,403,,03,10,2015
3100,401,,04,03,2015
3101,1849,,08,31,2015
3102,1849,,05,26,2015
3103,1849,,06,08,2015
3104,690,,09,04,2015
3105,2100,29.0,01,01,2015
3106,302,,09,27,2015
3107,1849,18.0,03,04,2015
3108,1401,20.0,11,09,2015
3109,401,,07,05,2015
3110,702,,02,27,2015
3111,2403,52.0,03,07,2015
3112,302,,01,14,2015
3113,2402,43.0,03,18,2015
3114,840,,10,03,2015
3115,401,30.0,12,11,2015
3116,840,35.0,06,14,2015
3117,1401,,09,03,2015
3118,640,25.0,10,30,2015
3119,1849,56.0,07,29,2015
3120,1850,,04,02,2015
3121,1651,50.0,04,16,2015
3122,801,26.0,04,08,2015
3123,1849,32.0,05,23,2015
3124,302,35.0,12,21,2015
3125,2530,,04,18,2015
3126,840,,01,04,2015
3127,401,,11,12,2015
3128,801,30.0,09,26,2015
3129,1401,,05,28,2015
3130,1849,,10,17,2015
3131,1401,33.0,03,30,2015
3132,1850,,08,21,2015
3133,840,30.0,04,06,2015
3134,2100,,06,05,2015
3135,1850,,07,03,2015
3136,640,,09,04,2015
3137,840,21.0,03,03,2015
3138,690,,01,20,2015
3139,840,48.0,09,09,2015
3140,640,29.0,05,05,2015
3141,401,22.0,05,30,2015
3142,802,29.0,07,12,2015
3143,1352,,06,15,2015
3144,301,44.0,06,05,2015
3145,401,39.0,07,19,2015
3146,401,24.0,10,04,2015
3147,1850,,07,10,2015
3148,302,32.0,03,01,2015
3149,301,22.0,07,26,2015
3150,1850,,03,28,2015
3151,2100,25.0,05,08,2015
3152,2601,,04,24,2015
3153,650,25.0,04,30,2015
3154,2040,,07,11,2015
3155,1850,,05,07,2015
3156,840,,12,02,2015
3157,2601,52.0,03,09,2015
3158,210,22.0,03,27,2014
3159,690,,01,02,2015
3160,2655,34.0,09,25,2015
3161,801,33.0,07,07,2015
3162,401,28.0,06,06,2015
3163,640,,01,08,2015
3164,2402,,10,10,2015
3165,401,30.0,09,19,2015
3166,799,,04,21,2015
3167,2601,25.0,11,22,2015
3168,2402,50.0,05,02,2015
3169,1849,,05,27,2015
3170,301,30.0,05,21,2015
3171,2655,28.0,09,05,2015
3172,1849,,01,29,2015
3173,401,33.0,05,30,2015
3174,302,,10,03,2015
3175,403,24.0,04,08,2015
3176,2402,25.0,04,25,2015
3177,801,26.0,11,07,2015
3178,702,30.0,06,27,2015
3179,1546,,02,22,2015
3180,1849,22.0,05,15,2015
3181,2601,51.0,04,03,2015
3182,801,25.0,04,28,2015
3183,301,,03,21,2015
3184,702,,04,25,2015
3185,801,,11,06,2015
3186,799,,03,09,2015
3187,401,24.0,03,07,2015
3188,1651,68.0,02,11,2015
3189,801,25.0,04,13,2015
3190,640,,10,17,2015
3191,402,23.0,10,02,2015
3192,702,,10,10,2015
3193,1849,18.0,04,13,2015
3194,702,,02,26,2015
3195,2100,30.0,05,23,2015
3196,702,,06,21,2015
3197,301,,11,26,2015
3198,1849,,12,03,2015
3199,801,19.0,08,03,2015
3200,1850,25.0,08,31,2015
3201,403,22.0,10,28,2015
3202,1546,,03,17,2015
3203,2402,30.0,11,06,2015
3204,1750,29.0,07,06,2015
3205,401,27.0,09,11,2015
3206,301,,05,21,2015
3207,1849,,08,31,2015
3208,1546,27.0,02,10,2015
3209,3020,,01,28,2015
3210,2402,22.0,06,21,2015
3211,640,,07,16,2015
3212,799,,04,06,2015
3213,401,25.0,07,09,2015
3214,1849,,01,02,2015
3215,1849,,02,03,2015
3216,1849,,01,20,2015
3217,801,21.0,08,02,2015
3218,802,35.0,10,22,2015
3219,802,26.0,05,17,2015
3220,2601,58.0,09,29,2015
3221,702,,08,17,2015
3222,1352,,09,06,2015
3223,802,44.0,11,01,2015
3224,840,34.0,01,22,2015
3225,1401,53.0,10,05,2015
3226,2402,,04,25,2015
3227,840,,12,18,2015
3228,2402,21.0,09,13,2015
3229,640,33.0,09,06,2015
3230,801,57.0,03,13,2015
3231,1849,,01,24,2015
3232,1849,21.0,12,03,2015
3233,1849,,03,28,2015
3234,1401,42.0,01,02,2015
3235,302,28.0,08,25,2015
3236,801,19.0,05,30,2015
3237,802,24.0,07,21,2015
3238,301,35.0,08,02,2015
3239,302,,09,09,2015
3240,1546,,09,20,2015
3241,1849,,05,19,2015
3242,301,38.0,08,03,2015
3243,840,,01,20,2015
3244,702,,02,12,2015
3245,640,22.0,07,26,2015
3246,2601,42.0,07,03,2015
3247,302,,12,25,2015
3248,1850,39.0,08,24,2015
3249,2402,43.0,03,25,2015
3250,2655,,01,17,2015
3251,1849,,09,02,2015
3252,801,25.0,09,01,2015
3253,1401,,10,05,2015
3254,840,,02,21,2015
3255,801,57.0,10,16,2015
3256,1849,,12,17,2015
3257,1401,26.0,08,29,2015
3258,2100,52.0,09,01,2015
3259,2402,,05,29,2015
3260,1850,44.0,10,07,2015
3261,640,,06,10,2015
3262,801,,07,30,2015
3263,1850,,10,27,2015
3264,1849,,12,09,2015
3265,2100,23.0,02,05,2015
3266,1651,34.0,05,08,2015
3267,840,21.0,02,21,2015
3268,401,23.0,02,21,2015
3269,1651,24.0,05,07,2015
3270,840,54.0,12,08,2015
3271,840,43.0,03,18,2015
3272,302,27.0,10,03,2015
3273,610,,02,06,2015
3274,302,25.0,10,11,2015
3275,1849,,09,04,2015
3276,401,35.0,08,12,2015
3277,901,,08,02,2015
3278,2100,27.0,09,08,2015
3279,401,18.0,05,08,2015
3280,702,25.0,09,15,2015
3281,802,23.0,05,09,2015
3282,670,21.0,02,01,2015
3283,401,,10,14,2015
3284,702,19.0,03,03,2015
3285,2655,30.0,01,17,2015
3286,1651,41.0,03,31,2015
3287,401,58.0,03,07,2015
3288,302,35.0,03,22,2015
3289,1849,,07,17,2015
3290,1850,,01,05,2015
3291,2601,,05,07,2015
3292,1849,,10,09,2015
3293,1849,,04,03,2015
3294,1652,,05,08,2015
3295,401,35.0,12,22,2015
3296,802,28.0,06,21,2015
3297,301,,11,03,2015
3298,403,,08,02,2015
3299,1850,40.0,02,10,2015
3300,2402,,07,20,2015
3301,802,,05,10,2015
3302,2601,,07,24,2015
3303,2655,35.0,08,09,2015
3304,302,,11,11,2015
3305,1849,22.0,01,12,2015
3306,2601,,11,25,2015
3307,401,20.0,06,07,2015
3308,802,39.0,10,05,2015
3309,640,20.0,04,10,2015
3310,1850,,03,05,2015
3311,1849,,05,23,2015
3312,2100,19.0,06,12,2015
3313,840,28.0,08,09,2015
3314,1849,27.0,09,08,2015
3315,2201,49.0,06,07,2015
3316,1546,,06,16,2015
3317,799,,05,19,2015
3318,2604,48.0,06,30,2015
3319,801,30.0,07,07,2015
3320,2100,35.0,11,21,2015
3321,1849,21.0,08,31,2015
3322,690,,10,09,2015
3323,1401,49.0,10,03,2015
3324,2402,19.0,02,21,2015
3325,1546,,07,15,2015
3326,301,32.0,10,04,2015
3327,2100,57.0,06,13,2015
3328,1850,25.0,08,21,2015
3329,1850,48.0,02,12,2015
3330,1849,30.0,08,19,2015
3331,2402,,08,18,2015
3332,1850,56.0,12,10,2015
3333,802,31.0,03,14,2015
3334,1546,,01,03,2015
3335,302,25.0,07,25,2015
3336,1651,,03,31,2015
3337,840,36.0,03,29,2015
3338,650,38.0,08,14,2015
3339,1849,,11,26,2015
3340,401,,03,09,2015
3341,302,19.0,09,27,2015
3342,1651,30.0,12,10,2015
3343,670,25.0,10,31,2015
3344,1850,21.0,08,07,2015
3345,640,,09,11,2015
3346,1352,21.0,09,16,2015
3347,301,,05,19,2015
3348,2601,30.0,09,17,2015
3349,1546,44.0,10,21,2015
3350,1850,,06,23,2015
3351,2402,30.0,10,16,2015
3352,610,,11,24,2015
3353,650,,11,03,2015
3354,401,22.0,04,20,2015
3355,2601,,07,12,2015
3356,1401,,04,22,2015
3357,640,,05,30,2015
3358,2100,48.0,06,17,2015
3359,1651,33.0,12,10,2015
3360,401,,03,19,2015
3361,1546,,10,10,2015
3362,1850,,02,13,2015
3363,302,,02,17,2015
3364,301,39.0,03,27,2015
3365,1352,,07,26,2015
3366,702,38.0,08,22,2015
3367,401,29.0,08,23,2015
3368,1849,25.0,12,24,2015
3369,2402,,05,09,2015
3370,640,27.0,09,17,2015
3371,401,27.0,04,26,2015
3372,1849,,06,30,2015
3373,2040,28.0,04,15,2015
3374,401,,03,19,2015
3375,1850,61.0,06,12,2015
3376,301,,05,02,2015
3377,1850,18.0,05,13,2015
3378,802,,02,09,2015
3379,2100,26.0,02,22,2015
3380,702,,07,17,2015
3381,1401,25.0,07,18,2015
3382,801,45.0,08,05,2015
3383,2601,53.0,04,01,2015
3384,1849,28.0,11,18,2015
3385,702,,05,21,2015
3386,401,30.0,05,04,2015
3387,1750,,07,06,2015
